n_sku,ds,y
4,2016-06-08,8264.91
5,2016-06-08,2884.7
1,2016-06-09,10346.88
2,2016-06-09,77128.32
3,2016-06-09,47509.78
4,2016-06-09,10023.3
5,2016-06-09,2900.76
1,2016-06-10,10032.95
2,2016-06-10,76824.0
3,2016-06-10,29143.66
4,2016-06-10,9211.12
5,2016-06-10,2948.8
1,2016-06-11,9088.8
2,2016-06-11,82933.2
3,2016-06-11,25463.47
4,2016-06-11,4320.36
5,2016-06-11,3566.22
1,2016-06-12,6659.28
2,2016-06-12,53760.98
3,2016-06-12,46862.64
4,2016-06-12,3727.36
5,2016-06-12,4089.75
1,2016-06-13,8468.58
2,2016-06-13,46480.46
3,2016-06-13,53074.28
4,2016-06-13,8354.71
5,2016-06-13,2871.7
1,2016-06-14,9422.1
2,2016-06-14,72678.87
3,2016-06-14,46774.35
4,2016-06-14,10001.84
5,2016-06-14,2888.5
1,2016-06-15,9958.04
2,2016-06-15,76061.7
3,2016-06-15,51859.2
4,2016-06-15,9496.08
5,2016-06-15,2890.02
1,2016-06-16,10103.1
2,2016-06-16,81867.24
3,2016-06-16,31733.64
4,2016-06-16,9996.48
5,2016-06-16,3336.9
1,2016-06-17,6510.66
2,2016-06-17,78981.08
3,2016-06-17,29088.0
4,2016-06-17,4406.4
5,2016-06-17,3173.16
1,2016-06-18,8097.17
2,2016-06-18,52056.2
3,2016-06-18,26258.99
4,2016-06-18,3712.32
5,2016-06-18,3086.6
1,2016-06-19,6850.32
2,2016-06-19,52990.16
3,2016-06-19,24923.51
4,2016-06-19,2633.04
5,2016-06-19,3081.6
1,2016-06-20,6199.57
2,2016-06-20,48504.0
3,2016-06-20,46300.04
4,2016-06-20,3623.88
5,2016-06-20,2260.32
1,2016-06-21,8632.96
2,2016-06-21,40019.76
3,2016-06-21,49004.19
4,2016-06-21,9238.68
5,2016-06-21,1514.34
1,2016-06-22,9159.71
2,2016-06-22,66351.74
3,2016-06-22,48316.67
4,2016-06-22,9308.0
5,2016-06-22,2659.26
1,2016-06-23,9189.35
2,2016-06-23,77628.01
3,2016-06-23,54928.87
4,2016-06-23,9832.56
5,2016-06-23,2816.04
1,2016-06-24,9896.04
2,2016-06-24,70326.62
3,2016-06-24,30455.04
4,2016-06-24,7903.17
5,2016-06-24,3186.6
1,2016-06-25,8121.6
2,2016-06-25,79809.24
3,2016-06-25,23602.32
4,2016-06-25,4440.06
5,2016-06-25,3528.0
1,2016-06-26,5199.48
2,2016-06-26,61883.85
3,2016-06-26,43311.1
4,2016-06-26,2725.04
5,2016-06-26,3443.52
1,2016-06-27,9092.68
2,2016-06-27,43201.36
3,2016-06-27,52514.02
4,2016-06-27,7874.46
5,2016-06-27,2515.8
1,2016-06-28,8762.8
2,2016-06-28,67513.05
3,2016-06-28,46208.91
4,2016-06-28,8662.08
5,2016-06-28,2848.98
1,2016-06-29,9054.45
2,2016-06-29,67244.64
3,2016-06-29,50395.14
4,2016-06-29,9283.92
5,2016-06-29,1497.6
1,2016-06-30,9030.7
2,2016-06-30,73144.22
3,2016-06-30,50886.99
4,2016-06-30,9758.32
5,2016-06-30,2860.42
1,2016-07-01,8849.48
2,2016-07-01,76120.52
3,2016-07-01,26895.28
4,2016-07-01,6914.88
5,2016-07-01,3323.84
1,2016-07-02,7589.08
2,2016-07-02,71950.97
3,2016-07-02,23007.3
4,2016-07-02,4280.04
