n_sku,ds,y
3,2016-05-15,23151.0
4,2016-05-15,3021.0
5,2016-05-15,1977.0
1,2016-05-16,8700.0
2,2016-05-16,71174.0
3,2016-05-16,46607.0
4,2016-05-16,8640.0
5,2016-05-16,2658.0
1,2016-05-17,9283.0
2,2016-05-17,72713.0
3,2016-05-17,48045.0
4,2016-05-17,9011.0
5,2016-05-17,2846.0
1,2016-05-18,10140.0
2,2016-05-18,78502.0
3,2016-05-18,49527.0
4,2016-05-18,9029.0
5,2016-05-18,2970.0
1,2016-05-19,9673.0
2,2016-05-19,79760.0
3,2016-05-19,49909.0
4,2016-05-19,10006.0
5,2016-05-19,2902.0
1,2016-05-20,10458.0
2,2016-05-20,80455.0
3,2016-05-20,52055.0
4,2016-05-20,9836.0
5,2016-05-20,3507.0
1,2016-05-21,8651.0
2,2016-05-21,62709.0
3,2016-05-21,34150.0
4,2016-05-21,4610.0
5,2016-05-21,3592.0
1,2016-05-22,6340.0
2,2016-05-22,51560.0
3,2016-05-22,26945.0
4,2016-05-22,3894.0
5,2016-05-22,2312.0
1,2016-05-23,9017.0
2,2016-05-23,71866.0
3,2016-05-23,46105.0
4,2016-05-23,8465.0
5,2016-05-23,2686.0
1,2016-05-24,9948.0
2,2016-05-24,79250.0
3,2016-05-24,47759.0
4,2016-05-24,9324.0
5,2016-05-24,3213.0
1,2016-05-25,8660.0
2,2016-05-25,69190.0
3,2016-05-25,41380.0
4,2016-05-25,7748.75
5,2016-05-25,3086.0
1,2016-05-26,9120.0
2,2016-05-26,75409.0
3,2016-05-26,47428.0
4,2016-05-26,9221.0
5,2016-05-26,3049.0
1,2016-05-27,9700.0
2,2016-05-27,78684.0
3,2016-05-27,48823.0
4,2016-05-27,9329.0
5,2016-05-27,3472.0
1,2016-05-28,7804.0
2,2016-05-28,54213.0
3,2016-05-28,28957.0
4,2016-05-28,4134.0
5,2016-05-28,2424.0
1,2016-05-29,5298.0
2,2016-05-29,40099.0
3,2016-05-29,20710.0
4,2016-05-29,2961.0
5,2016-05-29,2001.2
1,2016-05-30,8861.0
2,2016-05-30,70195.0
3,2016-05-30,45466.0
4,2016-05-30,9068.0
5,2016-05-30,2755.0
1,2016-05-31,8927.0
2,2016-05-31,71334.0
3,2016-05-31,46441.0
4,2016-05-31,8784.0
5,2016-05-31,2917.0
1,2016-06-01,9558.0
2,2016-06-01,75457.0
3,2016-06-01,48702.0
4,2016-06-01,9047.0
5,2016-06-01,3139.0
1,2016-06-02,9379.0
2,2016-06-02,74554.0
3,2016-06-02,46841.0
4,2016-06-02,9377.0
5,2016-06-02,3161.0
1,2016-06-03,10975.0
2,2016-06-03,80090.0
3,2016-06-03,49805.0
4,2016-06-03,9988.0
5,2016-06-03,3760.0
1,2016-06-04,8373.0
2,2016-06-04,54382.0
3,2016-06-04,28592.0
4,2016-06-04,3819.0
5,2016-06-04,2928.0
1,2016-06-05,6408.0
2,2016-06-05,46220.0
3,2016-06-05,25291.0
4,2016-06-05,3209.0
5,2016-06-05,2770.0
1,2016-06-06,9153.0
2,2016-06-06,72837.0
3,2016-06-06,46946.0
4,2016-06-06,8850.0
5,2016-06-06,2851.0
1,2016-06-07,9690.0
2,2016-06-07,73853.0
3,2016-06-07,48522.0
4,2016-06-07,8830.0
5,2016-06-07,3170.0
1,2016-06-08,9840.0
2,2016-06-08,75616.0
3,2016-06-08,48699.0
4,2016-06-08,8887.0
5,2016-06-08,3153.0
1,2016-06-09,10144.0
2,2016-06-09,77600.0
3,2016-06-09,46712.0
4,2016-06-09,9546.0
5,2016-06-09,3104.0
1,2016-06-10,10561.0
2,2016-06-10,78984.0
3,2016-06-10,46126.0
4,2016-06-10,9496.0
5,2016-06-10,3639.0
1,2016-06-11,8656.0
2,2016-06-11,59078.0
3,2016-06-11,32026.0
4,2016-06-11,4364.0
5,2016-06-11,3895.0
1,2016-06-12,6166.0
2,2016-06-12,47918.0
3,2016-06-12,26251.0
4,2016-06-12,3584.0
5,2016-06-12,3055.0
1,2016-06-13,9106.0
2,2016-06-13,73413.0
3,2016-06-13,47336.0
4,2016-06-13,9181.0
5,2016-06-13,2725.0
1,2016-06-14,9918.0
2,2016-06-14,76830.0
3,2016-06-14,48692.0
4,2016-06-14,9176.0
5,2016-06-14,2949.0
1,2016-06-15,9668.0
2,2016-06-15,80262.0
3,2016-06-15,50295.0
4,2016-06-15,9592.0
5,2016-06-15,3178.0
1,2016-06-16,9905.0
2,2016-06-16,85849.0
3,2016-06-16,54020.0
4,2016-06-16,9612.0
5,2016-06-16,3412.0
1,2016-06-17,9478.75
2,2016-06-17,72763.0
3,2016-06-17,44660.75
4,2016-06-17,7886.75
5,2016-06-17,3355.0
1,2016-06-18,8017.0
2,2016-06-18,57598.0
3,2016-06-18,28800.0
4,2016-06-18,3867.0
5,2016-06-18,2880.0
1,2016-06-19,6716.0
2,2016-06-19,51600.0
3,2016-06-19,25999.0
4,2016-06-19,2862.0
5,2016-06-19,2216.0
1,2016-06-20,8214.0
2,2016-06-20,64369.25
3,2016-06-20,40442.5
4,2016-06-20,7393.25
5,2016-06-20,1611.0
1,2016-06-21,9184.0
2,2016-06-21,72914.0
3,2016-06-21,47732.0
4,2016-06-21,9332.0
5,2016-06-21,2829.0
1,2016-06-22,9443.0
2,2016-06-22,75367.0
3,2016-06-22,48519.0
4,2016-06-22,8950.0
5,2016-06-22,3028.0
1,2016-06-23,9673.0
2,2016-06-23,77282.0
3,2016-06-23,49811.0
4,2016-06-23,9276.0
5,2016-06-23,3390.0
1,2016-06-24,9996.0
2,2016-06-24,81438.0
3,2016-06-24,53329.0
4,2016-06-24,7983.0
5,2016-06-24,3600.0
1,2016-06-25,8460.0
2,2016-06-25,58937.0
3,2016-06-25,31724.0
4,2016-06-25,4353.0
5,2016-06-25,3587.0
1,2016-06-26,5148.0
2,2016-06-26,40756.0
3,2016-06-26,21854.0
4,2016-06-26,2962.0
5,2016-06-26,2396.0
1,2016-06-27,8578.0
2,2016-06-27,68195.0
3,2016-06-27,44195.0
4,2016-06-27,7954.0
5,2016-06-27,2766.0
1,2016-06-28,9224.0
2,2016-06-28,73092.0
3,2016-06-28,48178.0
4,2016-06-28,9023.0
5,2016-06-28,1440.0
1,2016-06-29,9531.0
2,2016-06-29,77813.0
3,2016-06-29,49687.0
4,2016-06-29,9192.0
5,2016-06-29,3043.0
1,2016-06-30,9506.0
2,2016-06-30,77674.0
3,2016-06-30,49407.0
4,2016-06-30,9383.0
5,2016-06-30,3196.0
1,2016-07-01,9619.0
2,2016-07-01,79067.0
3,2016-07-01,51401.0
4,2016-07-01,7203.0
5,2016-07-01,3407.0
1,2016-07-02,8249.0
2,2016-07-02,56177.0
3,2016-07-02,29234.0
4,2016-07-02,3963.0
5,2016-07-02,2878.0
1,2016-07-03,5421.0
2,2016-07-03,39645.0
3,2016-07-03,21705.0
4,2016-07-03,2751.0
5,2016-07-03,1719.0
1,2016-07-04,9002.0
2,2016-07-04,69270.0
3,2016-07-04,45497.0
4,2016-07-04,8317.0
5,2016-07-04,973.0
1,2016-07-05,9520.0
2,2016-07-05,74261.0
3,2016-07-05,48680.0
4,2016-07-05,8689.0
5,2016-07-05,2798.0
1,2016-07-06,10107.0
2,2016-07-06,79500.0
3,2016-07-06,51537.0
4,2016-07-06,8656.0
5,2016-07-06,3156.0
1,2016-07-07,10066.0
2,2016-07-07,85162.0
3,2016-07-07,53470.0
4,2016-07-07,8801.0
5,2016-07-07,3566.0
1,2016-07-08,7085.0
2,2016-07-08,76270.0
3,2016-07-08,45645.2
4,2016-07-08,7697.4
5,2016-07-08,3596.0
1,2016-07-09,7767.0
2,2016-07-09,55241.0
3,2016-07-09,27070.0
4,2016-07-09,3635.0
5,2016-07-09,2829.0
1,2016-07-10,7068.0
2,2016-07-10,50142.0
3,2016-07-10,28441.0
4,2016-07-10,3666.0
5,2016-07-10,1611.0
1,2016-07-11,9107.0
2,2016-07-11,73151.0
3,2016-07-11,46428.0
4,2016-07-11,8421.0
5,2016-07-11,2536.0
1,2016-07-12,9894.0
2,2016-07-12,75907.0
3,2016-07-12,49927.0
4,2016-07-12,8660.0
5,2016-07-12,2850.0
1,2016-07-13,10006.0
2,2016-07-13,77673.0
3,2016-07-13,49802.0
4,2016-07-13,8582.0
5,2016-07-13,3032.0
1,2016-07-14,9414.0
2,2016-07-14,78369.0
3,2016-07-14,50304.0
4,2016-07-14,9271.0
5,2016-07-14,3011.0
1,2016-07-15,10227.0
2,2016-07-15,87657.0
3,2016-07-15,53141.0
4,2016-07-15,9418.0
5,2016-07-15,3245.0
1,2016-07-16,8951.0
2,2016-07-16,63554.0
3,2016-07-16,35307.0
4,2016-07-16,4798.0
5,2016-07-16,3297.0
1,2016-07-17,6390.0
2,2016-07-17,50099.0
3,2016-07-17,28994.0
4,2016-07-17,3795.0
5,2016-07-17,2231.0
1,2016-07-18,9483.0
2,2016-07-18,71356.0
